id;id_belanja;detail;harga;satuan
100;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Jawa Tengah;675000;Orang/Paket
101;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): D.I. Yogyakarta;750000;Orang/Paket
102;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Jawa Timur;1352000;Orang/Paket
103;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Bali;1419000;Orang/Paket
104;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Nusa Tenggara Barat;820000;Orang/Paket
105;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Nusa Tenggara Timur;825000;Orang/Paket
106;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Kalimantan Barat;744000;Orang/Paket
107;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Kalimantan Tengah;1170000;Orang/Paket
108;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Kalimantan Selatan;800000;Orang/Paket
109;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Kalimantan Timu;900000;Orang/Paket
110;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Kalimantan Utara;750000;Orang/Paket
111;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Sulawesi Utara;737000;Orang/Paket
112;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Gorontalo;1299000;Orang/Paket
113;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Sulawesi Barat;951000;Orang/Paket
114;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Sulawesi Selatan;1127000;Orang/Paket
115;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Sulawesi Tengah;886000;Orang/Paket
116;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Sulawesi Tenggara;695000;Orang/Paket
117;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Maluku;746000;Orang/Paket
118;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Maluku Utara;803000;Orang/Paket
119;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Papua;990000;Orang/Paket
120;8;Meeting Luar UNS Inn Paket Fullboard (golongan C): Papua Barat;1120000;Orang/Paket
121;9;Uang Harian Fullboard di Luar Kota: Aceh - Pegawai UNS;120000;Orang/Hari
